C/A;UNIT;SCP;STATION; LINENAME; DIVISION; DATEn;TIMEn;DESCn;ENTRIESn;EXITSn
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/27/2017;00:00:00;REGULAR;0006195217;0002098317                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/27/2017;04:00:00;REGULAR;0006195240;0002098318                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/27/2017;08:00:00;REGULAR;0006195256;0002098347                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/27/2017;12:00:00;REGULAR;0006195346;0002098432                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/27/2017;16:00:00;REGULAR;0006195518;0002098491                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/27/2017;20:00:00;REGULAR;0006195765;0002098537                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/28/2017;00:00:00;REGULAR;0006195898;0002098559                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/28/2017;04:00:00;REGULAR;0006195914;0002098562                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/28/2017;08:00:00;REGULAR;0006195930;0002098581                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/28/2017;12:00:00;REGULAR;0006196024;0002098646                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/28/2017;16:00:00;REGULAR;0006196186;0002098685                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/28/2017;20:00:00;REGULAR;0006196446;0002098723                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/29/2017;00:00:00;REGULAR;0006196569;0002098745                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/29/2017;04:00:00;REGULAR;0006196587;0002098747                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/29/2017;08:00:00;REGULAR;0006196597;0002098766                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/29/2017;12:00:00;REGULAR;0006196666;0002098845                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/29/2017;16:00:00;REGULAR;0006196853;0002098891                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/29/2017;20:00:00;REGULAR;0006197107;0002098922                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/30/2017;00:00:00;REGULAR;0006197230;0002098946                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/30/2017;04:00:00;REGULAR;0006197238;0002098949                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/30/2017;08:00:00;REGULAR;0006197288;0002099066                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/30/2017;12:00:00;REGULAR;0006197470;0002099345                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/30/2017;16:00:00;REGULAR;0006197790;0002099442                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/30/2017;20:00:00;REGULAR;0006198624;0002099521                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/31/2017;00:00:00;REGULAR;0006198819;0002099552                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/31/2017;04:00:00;REGULAR;0006198834;0002099555                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/31/2017;08:00:00;REGULAR;0006198880;0002099671                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/31/2017;12:00:00;REGULAR;0006199053;0002099950                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/31/2017;16:00:00;REGULAR;0006199379;0002100021                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;05/31/2017;20:00:00;REGULAR;0006200200;0002100072                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/01/2017;00:00:00;REGULAR;0006200419;0002100093                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/01/2017;04:00:00;REGULAR;0006200436;0002100097                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/01/2017;08:00:00;REGULAR;0006200488;0002100208                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/01/2017;12:00:00;REGULAR;0006200676;0002100494                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/01/2017;16:00:00;REGULAR;0006201026;0002100575                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/01/2017;20:00:00;REGULAR;0006201817;0002100637                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/02/2017;00:00:00;REGULAR;0006202055;0002100668                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/02/2017;04:00:00;REGULAR;0006202083;0002100670                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/02/2017;08:00:00;REGULAR;0006202128;0002100781                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/02/2017;12:00:00;REGULAR;0006202276;0002101048                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/02/2017;16:00:00;REGULAR;0006202628;0002101120                                            
A002;R051;02-00-00;59 ST;NQR456W;BMT;06/02/2017;20:00:00;REGULAR;0006203417;0002101191                                            
A002;R051;02-00-01;59 ST;NQR456W;BMT;05/27/2017;00:00:00;REGULAR;0005605857;0001243341                                            
A002;R051;02-00-01;59 ST;NQR456W;BMT;05/27/2017;04:00:00;REGULAR;0005605879;0001243343                                            
